71nl 1ds 200gp 10sm	תקינו ליה רבנן
04nl 1ds 540gp 10sm	נפקא ליה מהיכא דנפקא ליה לר׳ שמעון٠
44nl 1ds 540gp 10sm	ור׳ יהודה٠ אי מהתם הוה
54nl 1ds 540gp 10sm	אמינא٠ קאי ארעא ועביד במפחא٠ קא משמע לן٠
64nl 1ds 540gp 10sm	נפקא ליה "מואש"٠ ורבנן ואו לא דרשי٠
74nl 1ds 540gp 10sm	מאי עבדי להו٠ מהדרי
84nl 1ds 540gp 10sm	להו "למערכה גדולה"٠
90nl 2ds 540gp 10sm	דכולי עלמא "מוסיפין בו ביום"
01nl 2ds 540gp 10sm	אית להו٠ מנא לן٠ "מוהאש"٠ ואפלו למאן דלא דריש
21nl 2ds 540gp 10sm	ווי٠ ואו הא דריש٠ "אש תמיד" למאי אתא٠
31nl 2ds 540gp 10sm	מיבעי לי^ה^ לכדתניא٠
92nl 2ds 540gp 10sm	ואיצטריך למכתב "מעל המזבח"٠ ואיצטריך למכתב "לפני ייי"٠
03nl 2ds 540gp 10sm	דאי כתב רחמנא٠ "מעל המזבח"٠ הוה אמינא٠ "מזבח פנימי" כתב
13nl 2ds 540gp 10sm	רחמנא "מלפני ייי"٠ ואי כתב רחמנא٠ "מלפני ייי"٠ הוה אמי׳٠ דוקא "מלפני ה׳"
10nl 1ds 640gp 10sm	מהאי גיסא ומהאי גיסא לא٠
11nl 1ds 640gp 10sm	איצטריך٠
21nl 1ds 640gp 10sm	סלקא דעתא אמינא٠ הני מילי היכא "דחל יום הכיפורים ٠٠٠ אבל באמצע שבת" אימא
51nl 1ds 640gp 10sm	לא٠ קא משמע לן٠ מאן האי דלא חש
61nl 1ds 640gp 10sm	לקמחיה "בכל יום" תנן٠ קשיא٠
32nl 1ds 640gp 10sm	לדידך קשיא٠ לרב חסדא קשיא٠
72nl 1ds 640gp 10sm	לא לדידי קשיא ולא לרב חסדא קשיא٠ לדידי לא קשיא "סופו כתחלתו"
10nl 2ds 640gp 10sm	בר מידחא "טומאה" הוא٠ "סופו"
20nl 2ds 640gp 10sm	נמי דחי٠ "שבת בתחלתו" לאו בר
30nl 2ds 640gp 10sm	מידחא "שבת" הוא "סופו" נמי לא דחי٠ לרב
40nl 2ds 640gp 10sm	חסדא נמי לא קשיא "סופו כתחלתו"
50nl 2ds 640gp 10sm	לית ליה٠
01nl 2ds 640gp 10sm	דכבייה "בראשו של מזבח" דכלי עלמא לא
11nl 2ds 640gp 10sm	פליגי "דחייב"٠ כי פליגי דאחתה ארעא
21nl 2ds 640gp 10sm	וכבייה٠
31nl 2ds 640gp 10sm	כיון דנתקה נתקה٠
61nl 2ds 640gp 10sm	כמאן٠ כאביי٠ אפלו תימא כרבא٠ התם לא
71nl 2ds 640gp 10sm	אינתיק למצותה٠ הכא אינתיק למצותה٠ איכא דאמרי٠ דאחתה לארעא
81nl 2ds 640gp 10sm	וכבייה٠ דכולי עלמא לא פליגי "דפטור"٠ כי פליגי דכבייה "בראשו של מזבח"٠
91nl 2ds 640gp 10sm	כיון דנתקה נתקה٠
12nl 2ds 640gp 10sm	כמאן٠ לא כאביי ולא כרבא٠ התם לא אינתיק למצותה٠
22nl 2ds 640gp 10sm	הכא אינתיק למצותה٠
31nl 1ds 740gp 10sm	אמ׳ רחמנא٠ משום דלא איפשר٠
41nl 1ds 740gp 10sm	היכי נעביד٠ נעיל והדר נעיל٠ "הבאה אחת"
51nl 1ds 740gp 10sm	אמ׳ רחמנא٠ ולא "שתי הבאות"٠
61nl 1ds 740gp 10sm	ניחפון "מלא חפניו קטרת" וננחה "למחתה דגחלים" עלה٠
71nl 1ds 740gp 10sm	כי עייל לגואי היכי מנח לה٠ נישקלה
81nl 1ds 740gp 10sm	בשיניה וננחה
12nl 1ds 740gp 10sm	"הילכך" לא אפשר٠ וכיון דלא אפשר עבדינן
22nl 1ds 740gp 10sm	כדאשכחן "בנשיאים"٠
32nl 1ds 740gp 10sm	יציבא בארעא
42nl 1ds 740gp 10sm	וגיורא בשמי שמיא٠ אין٠
60nl 2ds 740gp 10sm	בעי יהושע עואה
70nl 2ds 740gp 10sm	דגואי לא תיבעי לך "דקומץ"
80nl 2ds 740gp 10sm	הוא٠ דבראי לא תיבעי לך "דשירין" נינהו٠
90nl 2ds 740gp 10sm	כי תיבעי לך "דבין הבינים"٠ מאי٠
01nl 2ds 740gp 10sm	אמ׳ ר׳ יוחנן٠ הדר פשט יהושע עואה٠
11nl 2ds 740gp 10sm	היכי עביד٠
31nl 2ds 740gp 10sm	דאי אמרת "בין הבינים תחלה"
41nl 2ds 740gp 10sm	דילמא "שירים" הוא٠
71nl 2ds 740gp 10sm	השתא נמי כי מקטר "קומץ תחלה" דילמא "^קומץ^" הוא٠
02nl 2ds 740gp 10sm	דמקטר להו לשום "עצים"
32nl 2ds 740gp 10sm	הניחא לר׳ אליעזר٠ לרבנן מאי איכא
42nl 2ds 740gp 10sm	למימר٠ אמ׳ רב מארי٠ דקמצי שמיני٠ השתא
52nl 2ds 740gp 10sm	דאתית להכי לר׳ אליעזר נמי "כתחלה"
62nl 2ds 740gp 10sm	כדקמצי שמיני٠
82nl 2ds 740gp 10sm	מאי קא
92nl 2ds 740gp 10sm	מיבעיא ליה٠ אי גמר "מלוא" "מלוא" מהתם٠ היני
03nl 2ds 740gp 10sm	הך דקא מיבעיא לן٠ אלא רב פפא הכי קמיבעיא ליה٠ "מלוא חפניו"
13nl 2ds 740gp 10sm	"והביא" בעינן והא איכא٠ או דילמא "ולקח"
23nl 2ds 740gp 10sm	"והביא" בעינן וליכא٠ תיקו٠
33nl 2ds 740gp 10sm	פשיטא לי "מלוא קמצו" כדקמצי אינשי٠ בעי
43nl 2ds 740gp 10sm	רב פפא٠ "קמץ בראשי אצבעותיו מהו٠ מן הצדדים מהו٠" תיקו٠
63nl 2ds 740gp 10sm	פשיטא לי "מלוא חפניו" כדחפני אינשי٠
10nl 1ds 840gp 10sm	דבקיה "לקומץ" מדפניה דמנא
20nl 1ds 840gp 10sm	מאי٠ "תוך כלי" בעינן והא איכא٠ או דילמא "הנחה בתוכו"
30nl 1ds 840gp 10sm	בעינן והא ליכא٠ תיקו٠
40nl 1ds 840gp 10sm	בעי מר בר רב אשי٠ אפכיה למנא ודבקיה "לקומץ"
50nl 1ds 840gp 10sm	מארעיתא דמנא٠ מאי "הנחה בתוכו" בעינן והא איכא٠ או דילמא "כתיקנן"
70nl 1ds 840gp 10sm	בעינן וליכא٠ תיקו٠
42nl 1ds 840gp 10sm	"עבודה" היא ופסלה בה "מחשבה" או דילמא לאו "עבודה" היא ולא פסלה בה "מחשבה"٠
13nl 1ds 840gp 10sm	ומדפסיל "טבול יום٠ לינה" נמי פסלה٠ ומדפסלה "לינה" נמי "מחשבה" נמי פסלה٠
20nl 2ds 840gp 10sm	בעו מיניה
30nl 2ds 840gp 10sm	מרב ששת٠ "הולכה בשמאל מהו"٠ אמ׳ להו٠
40nl 2ds 840gp 10sm	תניתוה٠
50nl 2ds 840gp 10sm	ונימא להו מהא٠
70nl 2ds 840gp 10sm	אי מהתם הוה אמינא٠ הני
80nl 2ds 840gp 10sm	מילי "עבודה" דלא מעכבא "בכפרה٠"
90nl 2ds 840gp 10sm	"אבל עבודה" דמעכבא "בכפרה" לא٠ קמשמע לן٠
10nl 1ds 940gp 10sm	מותיבי
30nl 1ds 940gp 10sm	תיובתא٠ והא מתניתין קאמ׳٠ משום דלא איפשר٠ והא רב ששת דאותבה להא מתניתא٠
40nl 1ds 940gp 10sm	דאמ׳ ליה אביי לאמוריה דרב חסדא٠
50nl 1ds 940gp 10sm	בעו מיניה מרב חסדא٠
80nl 1ds 940gp 10sm	ומותיב רב ששת
01nl 1ds 940gp 10sm	בתר דשמעה הכא אותבה התם٠
11nl 1ds 940gp 10sm	והא רב חסדא קרא קאמ׳٠ דעבדי "מעשה"
21nl 1ds 940gp 10sm	איצטבי٠
31nl 1ds 940gp 10sm	בעינן והא
41nl 1ds 940gp 10sm	איכא٠ או דילמא "וחפן והביא" בעינן והא
51nl 1ds 940gp 10sm	ליכא٠ תיקו٠
61nl 1ds 940gp 10sm	בעינן והא איכא٠ או דילמא דידיה בעינן והא ליכא٠
71nl 1ds 940gp 10sm	למימרא דר׳
81nl 1ds 940gp 10sm	יהושע בן לוי קשיש٠
22nl 1ds 940gp 10sm	והיכי
32nl 1ds 940gp 10sm	דמי٠ אי דאיכא "סכנה" ודאי שרי٠ אי
42nl 1ds 940gp 10sm	דליכא "סכנה" ודאי אסיר٠
72nl 1ds 940gp 10sm	"לעולם" דאיכא "סכנה"٠ ומשום דר׳ חנינא "בקי ברפואות" הוא٠
03nl 1ds 940gp 10sm	והא קא חזינן דחיי٠ אלא "וחיית"٠
13nl 1ds 940gp 10sm	והא קא חזינן דמיתסיא٠ דחיורן
23nl 1ds 940gp 10sm	רישי כרעיהו קאמרינן٠ שמעינן מינה
52nl 1ds 940gp 10sm	והכי קא מיבעיא ליה٠ מסיא ומחללינן שבתא או לא٠
33nl 1ds 940gp 10sm	דר׳ חנינא קשיש٠
43nl 1ds 940gp 10sm	ומי מספקא ליה לר׳ חנינא הא٠
83nl 1ds 940gp 10sm	מדקא מיבעיא ליה מכלל דפשיטא ליה
04nl 1ds 940gp 10sm	ולמאי דסבירא ליה٠
14nl 1ds 940gp 10sm	מאי הוי עלה٠
24nl 1ds 940gp 10sm	הא מיקימא "חפינה"
61nl 2ds 940gp 10sm	אותיביה ר׳ אמי לר׳ יצחק
71nl 2ds 940gp 10sm	נפחא٠ ואם איתה "עד שיזרק הדם" מיבעי
81nl 2ds 940gp 10sm	ליה٠ התם "מהיות משה" אמ׳ רחמנא٠ מחיותיה "דשה"٠
91nl 2ds 940gp 10sm	קתני מיחת
02nl 2ds 940gp 10sm	התם יליף "שה שה מפסח"٠ אי הכי אפלו כל מילי
22nl 2ds 940gp 10sm	אי הכי אפלו כל מילי נמי٠ "אם כן٠ שה שה٠" מאי אהני לי٠
40nl 1ds 050gp 10sm	דכולי עלמא ^ל^א פליגי דאיקרו "פר"٠ כי
50nl 1ds 050gp 10sm	פליגי "בדמו"٠ מר סבר "דמו" לא איקרי "פר"٠ ומר סבר "דמו"
60nl 1ds 050gp 10sm	נמי איקרי "פר"٠ מסתברא
70nl 1ds 050gp 10sm	כמאן דאמ׳ "דמו" נמי איקרי "פר"٠
90nl 1ds 050gp 10sm	בקרניה קא מעייל ליה٠ אלא לאו "בדמו"٠ וקא קרי ליה "פר"٠
11nl 1ds 050gp 10sm	ותיפוק לי "למיתה"٠
41nl 1ds 050gp 10sm	אמרי תלמידך אמ׳ רב עמרם
51nl 1ds 050gp 10sm	ומנא תימרה٠
81nl 1ds 050gp 10sm	לאו מכלל דאיכא למאן
91nl 1ds 050gp 10sm	דאמ׳ "דצבור"٠ ולטעמיך הא דתניא٠
32nl 1ds 050gp 10sm	מכלל דאיכא למאן דאמ׳ "דיחיד"٠ הא ודאי "דצבור" נינהו٠ אלא לתנא קמא
42nl 1ds 050gp 10sm	דקא מהדרי ליה דשמעיה דקאמ׳ ٠٠٠
13nl 1ds 050gp 10sm	"דיחיד" כללא הוא٠
43nl 1ds 050gp 10sm	אלא אי שמיע לך כללא הכי שמיע לך
45nl 1ds 050gp 10sm	נפקא מינה לאיתויי "כהן פר בהו^ד^אה"٠
70nl 2ds 050gp 10sm	מאי קא מיבעיא ליה٠ אי בתר "מקדיש" אזלינן או בתר "מתכפרין"
80nl 2ds 050gp 10sm	אזלינן٠
31nl 2ds 050gp 10sm	והכי קא מיבעיא ליה٠ "אחיו הכהנים" מקבועא מיכפרי
41nl 2ds 050gp 10sm	או מיקפיא מיכפרי٠
12nl 2ds 050gp 10sm	האי "זבח" היכי דמי٠ אלא לאו דקביע ליה "זמן"٠
62nl 2ds 050gp 10sm	הכי נמי מסתברא٠ דאי סלקא
72nl 2ds 050gp 10sm	דעתא٠ "פרו תמורתו טומאה ושבת"
82nl 2ds 050gp 10sm	הוא דלא דחיא٠ הא מיקרב קרבה٠
13nl 2ds 050gp 10sm	אי הכי "זבח" נמי נוקמה "בשם זבח"
50nl 1ds 150gp 10sm	ורב ששת אדמוקי לה "באילו" נוקמה "בפסח" ٠٠٠ דקביע ליה "זמן"
80nl 1ds 150gp 10sm	ונוקמה "בפסח שני"
90nl 1ds 150gp 10sm	מי דחי "טומאה"٠
01nl 1ds 150gp 10sm	האי תנא מאי שנא "פסח" דקרי ליה "קרבן יחיד"٠
11nl 1ds 150gp 10sm	ומאי שנא "חגיגה" דקרי לה "קרבן ציבור"٠
21nl 1ds 150gp 10sm	אי משום דאתיא בכינופיא٠ "פסח" נמי
31nl 1ds 150gp 10sm	בכינופיא אתי٠ "פסח שני" דלא אתי
41nl 1ds 150gp 10sm	בכינופיא٠ "פסח שני" מי דחי "טומאה"٠
10nl 2ds 150gp 10sm	ותיפוק לי "דאשר לו" אמ׳ רחמנא٠
80nl 2ds 150gp 10sm	ותסברה "אחיו הכהנים"٠ אי דלא קנו
90nl 2ds 150gp 10sm	ליה היכי מיכפרי ביה٠ אלא בי גזא
01nl 2ds 150gp 10sm	דאהרן אפקורי אפקריה רחמנא לגבי "אחיו הכהנים"٠
22nl 2ds 150gp 10sm	ומספקא להו לרבנן "קדושתה כלפנים או כלחוץ" הילכך עביד תרתי٠ ור׳ יוסי פשיטא ליה٠
72nl 2ds 150gp 10sm	ר׳ יוסי היא٠ דאמ׳٠ פתחא "בצפון"٠
82nl 2ds 150gp 10sm	ור׳ מאיר٠ פיתחא "בדרום"٠
92nl 2ds 150gp 10sm	ור׳ יהודה אי כר׳ מאיר סבירא ליה
03nl 2ds 150gp 10sm	ניסגי בין "מזבח למנורה"٠ אי כר׳
13nl 2ds 150gp 10sm	יוסי סבירא ליה ניסגי בין "שלחן לכותל٠"
23nl 2ds 150gp 10sm	"לעולם" כר׳ יוסי٠ וקסבר ר׳ יהודה "שלחן צפון ודרום"
33nl 2ds 150gp 10sm	הוה מנחי٠ מפסקי ליה ולא
43nl 2ds 150gp 10sm	מסתגי ליה٠
53nl 2ds 150gp 10sm	ולאו אורח ארעא٠
10nl 1ds 250gp 10sm	למיעל בהדיא٠
30nl 1ds 250gp 10sm	ניסגי בין "מנורה לכותל"٠ מש{{ת}}חרי מאניה٠
11nl 1ds 250gp 10sm	לא ידעינן
21nl 1ds 250gp 10sm	אי מהני עשרין או מהני
31nl 1ds 250gp 10sm	ארבעין٠ ודילמא לא מעשרין ולא
41nl 1ds 250gp 10sm	מארבעין٠ חללי קא חשיב٠ "מקום כתלין" לא קא חשיב٠ "תדע"
51nl 1ds 250gp 10sm	דהיכא דקחשיב٠ "מקום כתלין" קא חשיב לה٠
02nl 1ds 250gp 10sm	הכי מספקא ליה٠
72nl 1ds 250gp 10sm	ומי מספקא ליה ליוסף "איש" הוצל הא٠
50nl 2ds 250gp 10sm	הני מילי דאוריתא אבל
60nl 2ds 250gp 10sm	דנביאי טובא איכא٠ ודאוריתא תו ליכא٠ והא איכא
70nl 2ds 250gp 10sm	דבעי רב חסדא٠ האי קרא היכי קאמ׳
90nl 2ds 250gp 10sm	או דילמא אידי ואידי "פרים"٠ לרב חסדא
01nl 2ds 250gp 10sm	מיבעיא ליה٠ ליוסף "איש" הוצל פשיטא ליה٠
21nl 1ds 350gp 10sm	ותיפוק לי דקא
31nl 1ds 350gp 10sm	עייל "ביאה ריקנית"
61nl 1ds 350gp 10sm	כגון דעייל תרתי "٠٠٠ אביאה"
71nl 1ds 350gp 10sm	לא מיחייב דהא עייל
81nl 1ds 350gp 10sm	ליה "שלימה٠ אהקטרה" מיחייב דהא "חסרה"٠
02nl 1ds 350gp 10sm	קרא לקרא٠
32nl 1ds 350gp 10sm	והא איפכא תניא
53nl 1ds 350gp 10sm	מאי תלמודא٠
63nl 1ds 350gp 10sm	ואלא מאי טעמא איענוש٠
73nl 1ds 350gp 10sm	מאי דרוש٠
64nl 1ds 350gp 10sm	ר׳ אלעזר הוה קא מיפטר מיניה דר׳ יוחנן٠ הוה קאי לאחוריה לאחוריה עד דאיכסי מר׳ יוחנן٠ כי הוה עייל ר׳ יוחנן לאושפיזיה הוה
74nl 1ds 350gp 10sm	קאי ר׳ אלעזר בדוכתיה
84nl 1ds 350gp 10sm	עד דאיכסי ר׳ יוחנן מיניה٠ רבא כי הוה
94nl 1ds 350gp 10sm	מיפטר מבי רב יוסף٠ הוה אזיל לאחוריה ומינקפא כרעיה ומיתוסא איסקפותא דבי רב יוסף דמא٠ אתו
10nl 2ds 350gp 10sm	אמרו ליה לרב יוסף٠ אמ׳ ליה٠
20nl 2ds 350gp 10sm	יהי רעוא דתרים רישך אכוליה כרכא٠
21nl 2ds 350gp 10sm	מאי "ואו׳"٠ וכי תימא٠ אורחא דמילתא הוא למיתב "לימין" והדר "לשמאל"٠
31nl 2ds 350gp 10sm	רבה אשכחיה לאביי דקא יהיב "שלום" לימיניה
41nl 2ds 350gp 10sm	ברישא٠ אמ׳ ליה٠ מי סברת "ימינו שלו"٠
51nl 2ds 350gp 10sm	אמ׳ רב חייא בריה דרב הונא٠ חזינא להו לאביי ורבא דפסעי להי להני "שלש פסיעות בכריעה אחת"٠
71nl 2ds 350gp 10sm	מאי מצלי٠
81nl 2ds 350gp 10sm	מאי מעליותה٠
91nl 2ds 350gp 10sm	רב אחא בריה דרבא מסיים בה
02nl 2ds 350gp 10sm	משמא דרב יהודה٠ לא יעידי ביד שולטן מדבית יהודה٠ ר׳
22nl 2ds 350gp 10sm	חנינא בן דוסא הוה קאזיל באורחא٠ אתא מיטרא ٠٠٠
32nl 2ds 350gp 10sm	פסק מיטרא٠ כי מטא לביתיה אמ׳ ٠٠٠
42nl 2ds 350gp 10sm	אתא מיטרא٠ אמ׳ רב יוסף٠ מאי אהניא ליה
52nl 2ds 350gp 10sm	צלותיה "דכהן גדול" לר׳ חנינא בן דוסא٠
90nl 1ds 450gp 10sm	הכי נמי דלא גלו٠
31nl 1ds 450gp 10sm	"בהמה" בגימטריא הכי הוי٠
41nl 1ds 450gp 10sm	מאי טעמיה דר׳
02nl 1ds 450gp 10sm	הכי נמי דלא גלו٠
12nl 1ds 450gp 10sm	תיובתא٠
32nl 1ds 450gp 10sm	אף אנן נמי תנינא
52nl 1ds 450gp 10sm	מאי הוה קא עביד٠
14nl 1ds 450gp 10sm	מי הוו "כרובים"
24nl 1ds 450gp 10sm	"לעולם במקדש ראשון" ובי דבבי٠
54nl 1ds 450gp 10sm	"וכרובים" דצוראתא הוו٠
10nl 1ds 550gp 10sm	"מאי כמצלף"٠ כי מנגדנא٠
21nl 1ds 550gp 10sm	האי מאי٠ אי
31nl 1ds 550gp 10sm	אמרת בשלמא "למטה דשעור" להקישא٠ "למעלה דפר"
41nl 1ds 550gp 10sm	מיבעי לי לכדתנא דבי ר׳ אליעזר בן יעקב
81nl 1ds 550gp 10sm	אלא אי אמרת "למעלה דפר" להקישא٠ "למטה דשעור"
91nl 1ds 550gp 10sm	למאי אתא٠
83nl 1ds 550gp 10sm	מתניתין מני٠
14nl 1ds 550gp 10sm	ולא פליגי٠ מר כי אתריה ומר כי אתריה٠ דכלי עלמא מיחת ٠٠٠
84nl 1ds 550gp 10sm	ונכתוב עליהו٠ האי "חובה" והאי "נדבה"٠
10nl 2ds 550gp 10sm	לית ליה לר׳ יהודה כתיבא٠
20nl 2ds 550gp 10sm	תרי מאי
30nl 2ds 550gp 10sm	טעמא לא٠ דדילמא מיחלפי ליה٠
40nl 2ds 550gp 10sm	וניכתוב עליהו٠ האי "דפר" והאי "דשעור"٠ אלא שמע מינה٠
50nl 2ds 550gp 10sm	לית ליה לר׳ יהודה "כתיבה"٠
41nl 2ds 550gp 10sm	אמרי במערבא
51nl 2ds 550gp 10sm	ומי גזרינן٠
81nl 2ds 550gp 10sm	ונברור ארבעה זוזי וני{{ש}}<ד>רי בנהרא והנך
91nl 2ds 550gp 10sm	נישתרו٠ לית ליה לר׳ יהודה "ברירה"٠ מנא לן٠
02nl 2ds 550gp 10sm	אינימא מדתנן ٠٠٠
20nl 2ds 650gp 10sm	אלמא לית ליה "ברירה"٠ התם
30nl 2ds 650gp 10sm	כדקתני טעמא٠
90nl 2ds 650gp 10sm	והוינן בה٠ "לכאן ולכאן" אמאי לא٠ דלית ליה "ברירה"٠
21nl 2ds 650gp 10sm	והשתא דאמרת "ברירה" הוא דלית ליה לר׳ יהודה٠ "כתיבה"
31nl 2ds 650gp 10sm	אית ליה٠
41nl 2ds 650gp 10sm	ניכתוב עילויהו האי "דפר" והאי "דשעיר"٠ משום חולשא "דכהן גדול"
51nl 2ds 650gp 10sm	לא דעתיה٠ דאי לא תימא הכי "כתיבא" למה לי כלל٠
61nl 2ds 650gp 10sm	האי נפיש٠ האי זוטר٠ וכי
71nl 2ds 650gp 10sm	תימא٠ זמנין דלא מקביל ליה כוליה٠
02nl 2ds 650gp 10sm	וכי תימא٠ זימנין דמישתפיך
12nl 2ds 650gp 10sm	מיניה٠ האי חיור והאי סומק٠ אלא שמע מינה٠ משום
22nl 2ds 650gp 10sm	חולשא "דכהן" לאו דעתיה٠
42nl 2ds 650gp 10sm	ההוא דנחית קמיה דרבה٠
62nl 2ds 650gp 10sm	חדא כרבנן וחדא כר׳ יהודה٠
43nl 2ds 650gp 10sm	אמ׳ ליה ההוא מינא לר׳ חנינא
10nl 1ds 750gp 10sm	"טמאין" אתון٠
50nl 1ds 750gp 10sm	לא הוי "היקש"٠ הניחא
80nl 1ds 750gp 10sm	"מקומות מקומות" גמר٠
90nl 1ds 750gp 10sm	ואיבעית אימא "חוץ מפנים ופנים"٠ בחד
01nl 1ds 750gp 10sm	זימנא קא גמר٠
41nl 1ds 750gp 10sm	דעבידא "כסדרן"٠
12nl 1ds 750gp 10sm	דלא עבידן "כסדרן"٠
42nl 1ds 750gp 10sm	אמרוה רבנן
52nl 1ds 750gp 10sm	קמיה דר׳ ירמיה٠ אמ׳ להו٠ בבלאי טפשאי٠
62nl 1ds 750gp 10sm	משום דיתבי באתרא דחשוכא אמרי שמעתתא
72nl 1ds 750gp 10sm	דמחשכן٠ דקא מקדים "למעלה דשעיר" מקמי "למטה דפר"٠
43nl 1ds 750gp 10sm	סבר רב פפא קמיה דרבא למימר٠
73nl 1ds 750gp 10sm	עד האידנא קרו לן טפשאי٠ השתא קרו לן טפשאי
83nl 1ds 750gp 10sm	דטפשאי٠ דקא מגמרינן להו ולא גמרי٠ דקא מקדים "למטה דשעיר"
93nl 1ds 750gp 10sm	מקמי "למעלה דשעיר"
60nl 2ds 750gp 10sm	פשיטא כי מדי מן "ודאות" מדי٠ "ספקות שירין"
70nl 2ds 750gp 10sm	הוו ואזלי "ליסוד" או דילמא "דחויין" הוו ואזלי "לאמה"٠
90nl 2ds 750gp 10sm	הני מילי היכא דאי
01nl 2ds 750gp 10sm	בעי לאדויי מיניה מצי מדי٠ היכא דאי בעי לאדויי מיניה
11nl 2ds 750gp 10sm	לא מצי מדי "דחוי" הוי٠
41nl 2ds 750gp 10sm	הני מילי דדחייה "בידיים٠ אבל" היכא דלא דחייה "בידים"٠ לא٠ מאי היא٠
62nl 2ds 750gp 10sm	ההוא למעוטי "שירין שבצואר בהמה"٠
03nl 2ds 750gp 10sm	תסתיים דר׳
13nl 2ds 750gp 10sm	יאשיה דאמ׳ "מערבין"٠
23nl 2ds 750gp 10sm	"לעולם" אימא לך٠
53nl 2ds 750gp 10sm	פלגינהו קרא٠
43nl 2ds 750gp 10sm	תניא דלא כשינויין٠
01nl 1ds 850gp 10sm	וסתמה כרבי יאשיה٠
91nl 1ds 850gp 10sm	שני "רגל"
02nl 1ds 850gp 10sm	דלא מבטיל לה٠ איכא דאמרי٠ הא לא תיבעי לך٠ "דמין במינו אינו חוצץ"٠ אלא כי תיבעי לך ٠٠٠
72nl 1ds 850gp 10sm	כיון דמחלחל לא חייץ או דילמא אפלו הכי לא٠
82nl 1ds 850gp 10sm	אמ׳ ליה٠ תניתה٠
92nl 1ds 850gp 10sm	שני מיא דקלישי٠ איכא דאמרי٠
03nl 1ds 850gp 10sm	הכי פשט ליה٠
81nl 2ds 850gp 10sm	במאי קא מיפלגי٠ ר׳ יוסי "הגלילי"٠ סבר לה כר׳ יוסי דאמ׳٠ פיתחא "בצפון"٠ ומהיכא דנפיק אתי מהתם נקיט ומדי٠
91nl 2ds 850gp 10sm	ור׳ עקיבא סבר לה כר׳ מאיר דאמ׳٠ פיתחא "בדרום"٠
02nl 2ds 850gp 10sm	דכלי עלמא מיחת ההיא "קרן" דפגע בה לא מדי עילוה ברישא٠ מנא הני מילי٠
22nl 2ds 850gp 10sm	דאמ׳ קרא ٠٠٠ ור׳ עקיבא נמי נקיף "דרך ימין"
32nl 2ds 850gp 10sm	נימא٠ בדרמי בר יחזקאל קא מיפלגי٠
82nl 2ds 850gp 10sm	דכולי עלמא לא פליגי דאית להו דרמי בר יחזקאל٠ והכא "בפנים" קא מיפלגי٠ מר סבר٠ ילפינן "פנים מחוץ"٠
92nl 2ds 850gp 10sm	ומר סבר٠ לא ילפינן "פנים מחוץ"٠
03nl 2ds 850gp 10sm	^ר<׳> עק֗י֗בא^ אי לא גמר כל היכא דבעי אדויי ^נדי^٠ מדינא
13nl 2ds 850gp 10sm	ההוא "קרן" דפגע בה עלה בעי אדויי ברישא٠ משום דריש לקיש ٠٠٠ מאי איכא٠ דרחמנא "ויצא ٠٠٠" כי מדי אהא הדר מדי אהא٠ דהא קדים איחיב בה ברישא٠
10nl 1ds 950gp 10sm	ואיבעית אימא٠ אי סבירא לן "דהקפה ברגל"
20nl 1ds 950gp 10sm	דכולי עלמא לא פליגי דילפינן "פנים מחוץ"٠
30nl 1ds 950gp 10sm	והכא "בהקפה" גופה קמיפלגי٠ מר סבר "הקפה ביד"٠
40nl 1ds 950gp 10sm	ומר סבר "הקפה ברגל"٠ ואיבעית אימא٠
50nl 1ds 950gp 10sm	דכולי עלמא "הקפה ביד"٠ והכא בהא פליגי٠ מר
60nl 1ds 950gp 10sm	סבר٠ ילפינן "יד מרגל٠" ומר סבר٠ לא ילפינן٠
01nl 1ds 950gp 10sm	מחוורתא כדשנין מעיקרא٠
11nl 1ds 950gp 10sm	ואיבעית אימא٠ אי סבירא לן "דהקפה ברגל" דכולי עלמא לא פליגי דילפינן "פנים מחוץ"٠ והכא
21nl 1ds 950gp 10sm	בהא פליגי٠ מר "סביב ٠٠٠"
31nl 1ds 950gp 10sm	ומר סבר "מזבח ٠٠٠"
32nl 1ds 950gp 10sm	מתניתין מני٠ ר׳ יהודה היא٠ דתניא٠
03nl 1ds 950gp 10sm	כי היכי דלא ניתווסו מאניה٠
23nl 1ds 950gp 10sm	"מאי טהרו של מזבח"٠ פלגיה "דמזבח"
33nl 1ds 950gp 10sm	כדאמרי אינשי٠ טהר טיהרא הוה פלגא
43nl 1ds 950gp 10sm	דיומא٠
83nl 1ds 950gp 10sm	במאי קא מיפלגי٠ ר׳ חנניה סבר לה כר׳ מאיר דאמ׳٠ פיתחא "בדרום" והיכא {{מ}}דשלמא "מתנות דקרנות" התם קאי ומדי٠
93nl 1ds 950gp 10sm	ור׳ יוסי סבר٠ פיתחא "בצפון"٠ דכולי עלמא מיחת היכא דשלמא "מתנות דקרנות"٠
04nl 1ds 950gp 10sm	התם קאי ומדי٠
24nl 1ds 950gp 10sm	כי נפיק בההוא פגע ברישא٠
15nl 1ds 950gp 10sm	וסימניך٠ משכוה גברי לגברא٠
20nl 2ds 950gp 10sm	מאי טעמיהו דרבנן٠
01nl 1ds 060gp 10sm	מיעוטי
11nl 1ds 060gp 10sm	כתיבי ٠٠٠ והני תלתא קראי דכתיבי "בדם"
